dimension,baseline_mean,baseline_std,tournament_mean,tournament_std,cmi,compression_pct
possession_dominance,39.97947610294118,8.450812889608338,47.54388602690046,8.023702604874387,0.9494592661897469,5.054073381025315
territorial_control,21.22738293343653,4.669347596235516,23.07592838411588,4.409397120293585,0.9443283091300578,5.567169086994217
possession_efficiency,0.023206238264502438,0.014375259384101587,0.01747972367214761,0.007541294551301012,0.5246023288902429,47.5397671109757
progression_intensity,72.65484713622291,30.07908695576133,64.45075469402394,23.969317148180348,0.7968764870899541,20.312351291004592
progression_method,0.45996410603715165,0.05826264363658971,0.4478860341047841,0.050976921595659495,0.8749503698051442,12.504963019485583
buildup_complexity,0.10837301664086688,0.04928021166414716,0.09821269643817718,0.02963142420519433,0.6012844345543281,39.87155654456719
offensive_threat,1.093709731411085,0.6761054860603353,1.2568915229710371,0.6040264482631229,0.8933908402116115,10.660915978838847
tempo,5.274320820433436,1.0346791440109988,5.010643984754561,1.1130361472472605,1.0757307264670533,-7.5730726467053255
press_intensity,0.05892310733223012,0.02573962768391007,0.09841472678045483,0.034277934383925235,1.3317183451473344,-33.17183451473345
defensive_line_height,1.377894930340557,0.13498527119980133,1.4198446058748941,0.11158589847183126,0.826652400517572,17.334759948242795
press_effectiveness,0.35730355830875016,0.11375069126674783,0.41342071769769195,0.08873684392979363,0.7800993817409321,21.990061825906793
counter_speed,3.3338307856037153,0.3189610158117036,3.384105310821657,0.35499062192206204,1.1129592781696815,-11.295927816968154
